"Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url","Specimens_per_Lot"
11,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,19.63,11.12,14.77,0.57,2.77,0.31,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,8
12,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,19.86,11.81,15.31,0.6,2.83,0.41,NA,NA,"0","0","0","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,8
13,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,9.09,5.42,7.02,0.6,0.87,0.29,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
14,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,11.52,6.84,8.88,0.59,1.09,0.28,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
15,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,11.92,6.84,9.03,0.57,1.28,0.31,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
16,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,11.88,6.97,9.1,0.59,1.4,0.27,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
17,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,12.99,7.88,10.12,0.61,1.6,0.32,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
18,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,17.9,9.59,13.1,0.54,1.8,0.32,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
19,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,15.28,8.94,11.69,0.59,1.89,0.27,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
20,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,14.32,8.32,10.92,0.58,1.92,0.3,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
21,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,18,10.1,13.48,0.56,2.06,0.33,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
22,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,17.49,10.28,13.41,0.59,2.08,0.38,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
23,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,21.17,12.5,16.27,0.59,2.44,0.51,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
24,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,19.11,11.21,14.64,0.59,2.58,0.48,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708.349976","1708.349976","no",NA,12
25,"ANSP","72518","Gaylord","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.92,"Anthropocene",NA,1980,1989,NA,NA,16.26013899,1.943248038,28.43,15.17,20.77,0.53,3.18,0.57,NA,NA,"0","0","0","0","0","0","1","0","0","0","217.0272374","773.6440729","257","3.047932148",NA,NA,NA,NA,NA,NA,"1722.869995","1722.869995","no",NA,3
26,"ANSP","72518","Gaylord","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.92,"Anthropocene",NA,1980,1989,NA,NA,16.26013899,1.943248038,27.64,15.54,20.72,0.56,3.25,0.68,NA,NA,"0","0","0","0","0","0","1","0","0","0","217.0272374","773.6440729","257","3.047932148",NA,NA,NA,NA,NA,NA,"1722.869995","1722.869995","no",NA,3
27,"ANSP","72518","Gaylord","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.92,"Anthropocene",NA,1980,1989,NA,NA,16.26013899,1.943248038,26.5,14.4,19.53,0.54,3.77,0.75,NA,NA,"0","0","0","0","0","0","0","0","0","0","217.0272374","773.6440729","257","3.047932148",NA,NA,NA,NA,NA,NA,"1722.869995","1722.869995","no",NA,3
28,"CAS","205081","Barber","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.34,-120.83,"Anthropocene",NA,1950,1959,"Summer",8,15.82016516,1.361919374,28.19,16.51,21.57,0.59,3.81,0.76,"rocky reef or intertidal",NA,"0","0","0","0","0","0","0","0","0","0","121.9979825","349.6273242","1487","4.972013281",NA,NA,NA,NA,NA,NA,"10.24050045","10.24050045","no",NA,3
29,"CAS","205081","Barber","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.34,-120.83,"Anthropocene",NA,1950,1959,"Summer",8,15.82016516,1.361919374,36.58,21.84,28.26,0.6,4.06,1.02,"rocky reef or intertidal",NA,"0","0","0","0","0","0","0","0","0","0","121.9979825","349.6273242","1487","4.972013281",NA,NA,NA,NA,NA,NA,"10.24050045","10.24050045","no",NA,3
30,"CAS","205081","Barber","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.34,-120.83,"Anthropocene",NA,1950,1959,"Summer",8,15.82016516,1.361919374,39.12,20.83,28.55,0.53,4.32,1.02,"rocky reef or intertidal",NA,"0","0","0","0","0","0","0","0","0","0","121.9979825","349.6273242","1487","4.972013281",NA,NA,NA,NA,NA,NA,"10.24050045","10.24050045","no",NA,3
31,"CAS","217548","McClure","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,18.29,9.66,13.29,0.53,2.22,0.46,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,3
32,"CAS","217548","McClure","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,25.8,14.08,19.06,0.55,3.12,0.75,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,3
33,"CAS","217548","McClure","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,28.04,15.86,21.09,0.57,3.27,0.49,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,3
34,"CAS","85062","Bickford","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.35,-120.85,"Anthropocene",NA,1960,1961,NA,NA,14.56054417,1.359396733,41.08,20.42,28.96,0.5,2.85,0.81,"rocky reef or intertidal","intertidal","0","0","0","0","0","0","0","0","0","0","211.2934132","313.6027014","167","4.290830498",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,9
35,"CAS","85062","Bickford","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.35,-120.85,"Anthropocene",NA,1960,1961,NA,NA,14.56054417,1.359396733,33.45,18.58,24.93,0.56,3.06,0.49,"rocky reef or intertidal","intertidal","0","0","0","0","0","0","0","0","0","0","211.2934132","313.6027014","167","4.290830498",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,9
36,"CAS","85062","Bickford","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.35,-120.85,"Anthropocene",NA,1960,1961,NA,NA,14.56054417,1.359396733,36.72,21.63,28.18,0.59,3.73,0.88,"rocky reef or intertidal","intertidal","0","0","0","0","0","0","0","0","0","0","211.2934132","313.6027014","167","4.290830498",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,9
37,"CAS","85062","Bickford","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.35,-120.85,"Anthropocene",NA,1960,1961,NA,NA,14.56054417,1.359396733,39.93,21.92,29.58,0.55,4.15,0.99,"rocky reef or intertidal","intertidal","0","0","0","0","0","0","0","0","0","0","211.2934132","313.6027014","167","4.290830498",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,9
38,"CAS","85062","Bickford","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.35,-120.85,"Anthropocene",NA,1960,1961,NA,NA,14.56054417,1.359396733,37.78,20.29,27.69,0.54,4.34,0.6,"rocky reef or intertidal","intertidal","0","0","0","0","0","0","0","0","0","0","211.2934132","313.6027014","167","4.290830498",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,9
39,"CAS","85062","Bickford","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.35,-120.85,"Anthropocene",NA,1960,1961,NA,NA,14.56054417,1.359396733,39.81,22.09,29.65,0.56,4.34,1,"rocky reef or intertidal","intertidal","0","0","0","0","0","0","0","0","0","0","211.2934132","313.6027014","167","4.290830498",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,9
40,"CAS","85062","Bickford","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.35,-120.85,"Anthropocene",NA,1960,1961,NA,NA,14.56054417,1.359396733,35.17,20.27,26.7,0.58,4.39,0.63,"rocky reef or intertidal","intertidal","0","0","0","0","0","0","0","0","0","0","211.2934132","313.6027014","167","4.290830498",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,9
41,"CAS","85062","Bickford","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.35,-120.85,"Anthropocene",NA,1960,1961,NA,NA,14.56054417,1.359396733,37.4,21.53,28.38,0.58,4.5,1.07,"rocky reef or intertidal","intertidal","0","0","0","0","0","0","0","0","0","0","211.2934132","313.6027014","167","4.290830498",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,9
42,"CAS","85062","Bickford","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.35,-120.85,"Anthropocene",NA,1960,1961,NA,NA,14.56054417,1.359396733,40.02,20.82,28.87,0.52,4.77,0.91,"rocky reef or intertidal","intertidal","0","0","0","0","0","0","0","0","0","0","211.2934132","313.6027014","167","4.290830498",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,9
43,"CAS","217538","Coan","Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: West of Winfield Scott Wreck","National Park","Small",34.01,-119.39,"Anthropocene",NA,1960,1961,"Summer",7,15.6884896,1.569154659,11.91,7.92,9.71,0.67,1.33,0.43,NA,NA,"0","0","0","0","0","0","0","0","0","0","142.3851852","138.037632","135","2.706871619",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,4
44,"CAS","217538","Coan","Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: West of Winfield Scott Wreck","National Park","Small",34.01,-119.39,"Anthropocene",NA,1960,1961,"Summer",7,15.6884896,1.569154659,16.87,9.98,12.98,0.59,1.85,0.46,NA,NA,"0","0","0","0","0","0","0","0","0","0","142.3851852","138.037632","135","2.706871619",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,4
45,"CAS","217538","Coan","Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: West of Winfield Scott Wreck","National Park","Small",34.01,-119.39,"Anthropocene",NA,1960,1961,"Summer",7,15.6884896,1.569154659,19.9,11.33,15.02,0.57,2.17,0.32,NA,NA,"0","0","0","0","0","0","0","0","0","0","142.3851852","138.037632","135","2.706871619",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,4
46,"CAS","217538","Coan","Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: West of Winfield Scott Wreck","National Park","Small",34.01,-119.39,"Anthropocene",NA,1960,1961,"Summer",7,15.6884896,1.569154659,19.88,10.81,14.66,0.54,2.86,0.32,NA,NA,"0","0","0","0","0","0","0","0","0","0","142.3851852","138.037632","135","2.706871619",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,4
47,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,12.45,7.11,9.41,0.57,1.52,0.25,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
48,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,10.16,6.35,8.03,0.63,1.78,0.25,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
49,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,15.75,8.89,11.83,0.57,2.03,0.25,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
50,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,10.92,6.86,8.66,0.63,2.03,0.51,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
51,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,12.7,8.13,10.16,0.64,2.03,0.51,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
52,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,19.05,10.67,14.26,0.56,2.29,0.51,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
53,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,18.29,10.41,13.8,0.57,2.54,0.51,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
54,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,15.24,9.4,11.97,0.62,3.05,0.25,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
55,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,30.73,16.26,22.35,0.53,3.05,0.51,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
56,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,19.05,11.43,14.76,0.6,3.05,0.51,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
57,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,28.7,14.99,20.74,0.52,3.56,0.51,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
58,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,22.61,12.19,16.6,0.54,3.56,0.51,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
59,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,26.67,15.24,20.16,0.57,3.81,0.76,NA,"intertidal","0","0","0","0","0","0","0","0","0","0","172.9068493","315.349731","365","3.693923335",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,13
60,"CAS","Royal Ontario Museum",NA,"Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: Frenchy's cove","National Park","Small",34.01,-119.41,"Anthropocene",NA,1960,1964,"Spring",6,15.14683239,1.375549149,14.99,9.71,12.06,0.65,1.51,0.47,NA,NA,"0","0","0","0","0","0","0","0","0","0","335.9570707","515.3501753","396","2.608852955",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,3
61,"CAS","Royal Ontario Museum",NA,"Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: Frenchy's cove","National Park","Small",34.01,-119.41,"Anthropocene",NA,1960,1964,"Spring",6,15.14683239,1.375549149,14.25,8.57,11.05,0.6,1.93,0.31,NA,NA,"0","0","0","0","0","0","0","0","0","0","335.9570707","515.3501753","396","2.608852955",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,3
62,"CAS","Royal Ontario Museum",NA,"Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: Frenchy's cove","National Park","Small",34.01,-119.41,"Anthropocene",NA,1960,1964,"Spring",6,15.14683239,1.375549149,19.09,12.59,15.5,0.66,2.49,0.72,NA,NA,"0","0","0","0","0","0","0","0","0","0","335.9570707","515.3501753","396","2.608852955",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,3
63,"CAS","JW","JW","Southern California Bight","Orange","Coastal","LA","Long Beach: Seal Beach","Los Angeles",NA,33.75,-118.12,"Anthropocene",NA,1960,1965,"Summer",8,16.46534284,1.973515681,16.24,8.17,11.52,0.5,2.14,0.26,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,3
64,"CAS","JW","JW","Southern California Bight","Orange","Coastal","LA","Long Beach: Seal Beach","Los Angeles",NA,33.75,-118.12,"Anthropocene",NA,1960,1965,"Summer",8,16.46534284,1.973515681,16.19,9.11,12.14,0.56,2.33,0.26,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,3
